,experiment_id,qualitative_outcome,disease_id,disease_name,organism_id,organism_name
0,1,Elevated,1,Autism,1,Lactobacillus
1,2,Elevated,1,Autism,2,Desulfovibrio
2,3,Elevated,1,Autism,3,Clostridia cluster I
3,4,Elevated,2,Multiple Sclerosis,4,Eggerthella lenta
4,5,Elevated,2,Multiple Sclerosis,5,Streptococcus thermophiles
5,6,Reduced,2,Multiple Sclerosis,6,Faecalibacterium prausnitzii
6,7,Reduced,2,Multiple Sclerosis,7,Anaerostipes hadrus
7,8,Reduced,2,Multiple Sclerosis,8,Eubacterium rectale
8,9,Reduced,2,Multiple Sclerosis,9,Clostridium
9,10,Reduced,2,Multiple Sclerosis,10,Bacteroides stercoris
10,11,Reduced,2,Multiple Sclerosis,11,Bacteroides coprocola
11,12,Reduced,2,Multiple Sclerosis,12,Lactobacillus rogosae
12,13,Reduced,2,Multiple Sclerosis,13,Lachnospira pectinoschiza
13,14,Reduced,2,Multiple Sclerosis,14,Roseburia
14,15,Reduced,2,Multiple Sclerosis,15,Sutterella wadsworthensis
15,16,Reduced,2,Multiple Sclerosis,16,Bacteroides coprophilus
16,17,Reduced,2,Multiple Sclerosis,17,Desulfotomaculum
17,18,Reduced,2,Multiple Sclerosis,18,Prevotella copri
18,19,Reduced,2,Multiple Sclerosis,19,Megamonas funiformis
19,20,Reduced,3,Crohn's Disease,6,Faecalibacterium prausnitzii
20,21,Elevated,3,Crohn's Disease,20,Ruminococcus gnavus
21,22,Reduced,3,Crohn's Disease,21,Dialister invisus
22,23,Reduced,3,Crohn's Disease,22,Bifidobacterium adolescentis
23,24,Reduced,3,Crohn's Disease,6,Faecalibacterium prausnitzii
24,25,Elevated,3,Crohn's Disease,20,Ruminococcus gnavus
25,26,Reduced,3,Crohn's Disease,22,Bifidobacterium adolescentis
26,27,Elevated,3,Crohn's Disease,23,Parvimonas micra
27,28,Elevated,3,Crohn's Disease,24,Prevotella melaninogenica
28,29,Elevated,3,Crohn's Disease,25,Peptostreptococcus anaerobius
29,30,Elevated,3,Crohn's Disease,26,Staphylococcus aureus
30,31,Elevated,3,Crohn's Disease,27,Streptococcus anginosus
31,32,Elevated,3,Crohn's Disease,28,Streptococcus mutans
32,33,Elevated,3,Crohn's Disease,29,Bacteroides ureolyticus
33,34,Elevated,3,Crohn's Disease,30,Campylobacter gracilis
34,35,Elevated,3,Crohn's Disease,24,Prevotella melaninogenica
35,36,Elevated,3,Crohn's Disease,26,Staphylococcus aureus
36,37,Elevated,3,Crohn's Disease,27,Streptococcus anginosus
37,38,Elevated,3,Crohn's Disease,31,Streptococcus intermedius
38,39,Elevated,3,Crohn's Disease,28,Streptococcus mutans
39,40,Reduced,4,Ulcerative Colitis,23,Parvimonas micra
40,41,Reduced,4,Ulcerative Colitis,25,Peptostreptococcus anaerobius
41,42,Elevated,4,Ulcerative Colitis,26,Staphylococcus aureus
42,43,Reduced,4,Ulcerative Colitis,27,Streptococcus anginosus
43,44,Reduced,4,Ulcerative Colitis,32,Streptococcus mitis
44,45,Reduced,5,Irritable Bowel Syndrome,33,Bifidobacterium
45,46,Elevated,5,Irritable Bowel Syndrome,34,Ruminococcus productus
46,47,Elevated,5,Irritable Bowel Syndrome,35,Veillonella
47,48,Elevated,5,Irritable Bowel Syndrome,36,Bacteroides
