,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,1.0,0.0,0.16615384615384615,0.04240282685512368,0.0,0.0,0.2120141342756184,0.2120141342756184,0.2120141342756184,0.0,0.1414141414141414,0.0,0.31384615384615383,0.2144927536231884,0.1414141414141414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22653721682847897,0.04534005037783375,0.0,0.0,0.1414141414141414,0.0,0.0,0.0,0.0,0.744,0.0,0.11413043478260868,0.055384615384615386,0.0,0.0,0.0,0.0
Periodontal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastric and duodenal ulcer,0.16615384615384615,0.0,1.0,0.1020408163265306,0.0,0.0,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.0,0.2207792207792208,0.0,0.23809523809523808,0.19101123595505615,0.2207792207792208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.05882352941176471,0.0,0.0,0.2207792207792208,0.0,0.0,0.0,0.0,0.17616580310880828,0.0,0.17941952506596306,0.07142857142857142,0.0,0.0,0.0,0.0
Gastro-oesophageal reflux,0.04240282685512368,0.0,0.1020408163265306,1.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.06766917293233081,0.0,0.1020408163265306,0.05732484076433121,0.06766917293233081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1079136690647482,0.04918032786885246,0.0,0.0,0.06766917293233081,0.0,0.0,0.0,0.0,0.05232558139534884,0.0,0.05341246290801186,0.061224489795918366,0.0,0.0,0.0,0.0
Guttate psoriasis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.045454545454545456
Atopy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33333333333333326,1.0,0.0,0.0,1.0,0.34177215189873417,0.0,0.0,0.1463414634146341,0.0,0.0,0.0,0.0,0.0,0.16901408450704225,0.0,0.0,0.0,0.0,0.34177215189873417,0.0,0.0,0.1463414634146341
Diarrhea Irritable bowel syndrome(IBS),0.2120141342756184,0.0,0.1836734693877551,0.047619047619047616,0.0,0.0,1.0,1.0,1.0,0.0,0.15789473684210523,0.0,0.3469387755102041,0.2356687898089172,0.15789473684210523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2517985611510791,0.04918032786885246,0.0,0.0,0.15789473684210523,0.0,0.0,0.0,0.0,0.2616279069767442,0.0,0.12462908011869436,0.061224489795918366,0.0,0.0,0.0,0.0
Irritable bowel syndrome(IBS),0.2120141342756184,0.0,0.1836734693877551,0.047619047619047616,0.0,0.0,1.0,1.0,1.0,0.0,0.15789473684210523,0.0,0.3469387755102041,0.2356687898089172,0.15789473684210523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2517985611510791,0.04918032786885246,0.0,0.0,0.15789473684210523,0.0,0.0,0.0,0.0,0.2616279069767442,0.0,0.12462908011869436,0.061224489795918366,0.0,0.0,0.0,0.0
Constipation Irritable bowel syndrome(IBS),0.2120141342756184,0.0,0.1836734693877551,0.047619047619047616,0.0,0.0,1.0,1.0,1.0,0.0,0.15789473684210523,0.0,0.3469387755102041,0.2356687898089172,0.15789473684210523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2517985611510791,0.04918032786885246,0.0,0.0,0.15789473684210523,0.0,0.0,0.0,0.0,0.2616279069767442,0.0,0.12462908011869436,0.061224489795918366,0.0,0.0,0.0,0.0
Obesity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09574468085106384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.024096385542168676,0.0273972602739726,0.02352941176470588,0.0,0.022099447513812157,0.03305785123966942,0.0375,0.0,0.0,0.0,0.0
