,MeSH Symptom Term,MeSH Disease Term,PubMed occurrence,TFIDF score
5,"Aging, Premature",Colonic Neoplasms,1.0,3.464551489537968
247,Asthenia,Colonic Neoplasms,1.0,2.0632192510535368
1325,Fever,Colonic Neoplasms,27.0,16.711316071649012
3201,Fever of Unknown Origin,Colonic Neoplasms,18.0,26.5167885000788
5007,Body Weight,Colonic Neoplasms,253.0,86.77592532762554
8125,Weight Gain,Colonic Neoplasms,17.0,25.273725591492887
9237,Weight Loss,Colonic Neoplasms,47.0,47.0025244349152
10636,Cachexia,Colonic Neoplasms,87.0,173.5409893750152
11213,Overweight,Colonic Neoplasms,3.0,2.471616298652524
11819,Obesity,Colonic Neoplasms,72.0,59.9438629177681
13369,"Obesity, Morbid",Colonic Neoplasms,1.0,1.75293995237456
14032,Thinness,Colonic Neoplasms,1.0,2.670599609856057
14938,Chills,Colonic Neoplasms,1.0,3.585179477326583
16268,Edema,Colonic Neoplasms,11.0,6.554659035131703
19855,Fatigue,Colonic Neoplasms,18.0,20.484236799385727
21085,Feminization,Colonic Neoplasms,2.0,7.524771866907534
22574,Hypergammaglobulinemia,Colonic Neoplasms,3.0,5.037375491120807
24275,Neurologic Manifestations,Colonic Neoplasms,3.0,0.2098242395260031
26353,Ataxia,Colonic Neoplasms,1.0,1.2196597127769402
27291,Cerebellar Ataxia,Colonic Neoplasms,1.0,1.7087856229578182
31110,Myoclonus,Colonic Neoplasms,2.0,3.550141738860662
37401,Aphasia,Colonic Neoplasms,1.0,1.810661814533033
40342,Confusion,Colonic Neoplasms,2.0,3.01789642255399
41602,Consciousness Disorders,Colonic Neoplasms,1.0,0.8771292762243725
43040,Coma,Colonic Neoplasms,1.0,1.312084812843242
44312,Syncope,Colonic Neoplasms,2.0,2.9817828550595045
45538,Memory Disorders,Colonic Neoplasms,1.0,1.4679976076638996
47265,Mental Retardation,Colonic Neoplasms,2.0,1.810893368145429
55059,Muscle Weakness,Colonic Neoplasms,1.0,0.992991081702862
56455,Muscular Atrophy,Colonic Neoplasms,6.0,8.76493061756297
57412,Myotonia,Colonic Neoplasms,1.0,3.0540485873998464
57692,Spasm,Colonic Neoplasms,4.0,5.469109886250302
58700,Trismus,Colonic Neoplasms,2.0,5.19592085243217
59978,Pain,Colonic Neoplasms,54.0,17.786882266059965
62231,Back Pain,Colonic Neoplasms,1.0,1.1469285191793817
63276,Low Back Pain,Colonic Neoplasms,3.0,4.771263068630356
67045,Neuralgia,Colonic Neoplasms,1.0,1.5383141060813592
68258,"Pain, Intractable",Colonic Neoplasms,8.0,15.943866970615906
69183,Paralysis,Colonic Neoplasms,2.0,0.9689427549656968
71802,Hemiplegia,Colonic Neoplasms,1.0,1.294632362892016
72965,Ophthalmoplegia,Colonic Neoplasms,1.0,1.3298472691830825
74361,Paraplegia,Colonic Neoplasms,1.0,1.2774792836657665
75634,Quadriplegia,Colonic Neoplasms,1.0,1.3691396694936402
77649,Paresis,Colonic Neoplasms,1.0,1.2877357838329555
79088,Psychophysiologic Disorders,Colonic Neoplasms,2.0,2.9650112683069563
82552,Seizures,Colonic Neoplasms,1.0,0.8451669255214139
84085,Sensation Disorders,Colonic Neoplasms,3.0,1.0299657128149189
84997,Dizziness,Colonic Neoplasms,1.0,1.3424714224114789
86051,Hearing Disorders,Colonic Neoplasms,1.0,0.7350165749565932
86961,Hearing Loss,Colonic Neoplasms,2.0,1.6071010892456583
89863,"Hearing Loss, High-Frequency",Colonic Neoplasms,1.0,3.105606397064696
95261,Paresthesia,Colonic Neoplasms,3.0,4.074054438449336
