,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,1.0,0.07205064381061684,0.0835276336529385,0.058047607397581885,0.22511446930767248,0.11210514568871896,0.4057651603950366,0.4057651603950366,0.4057651603950366,0.26574465528676366,0.5722745951809429,0.15285355866036662,0.49731503980589786,0.4054603446189266,0.11210514568871896,0.11210514568871896,0.02118281791060221,0.11210514568871896,0.036786187829517036,0.0,0.11210514568871896,0.058472939180511524,0.5800248736260751,0.33894872279696897,0.31663082100695317,0.22511446930767248,0.12984836874119277,0.29632239443282476,0.16796300249651033,0.22425639173277295,0.06806919578211755,0.7325640595967579,0.10389088123323473,0.4551658028749026,0.2760124231807658,0.058472939180511524,0.4040653574349479,0.07581770052139619,0.31663082100695317
Periodontal,0.07205064381061684,0.9999999999999998,0.04476786683770141,0.025874021673878596,0.1292095085893461,0.10098250803314832,0.01577065653030072,0.01577065653030072,0.01577065653030072,0.1545664897082062,0.11532937885021248,0.0867588775613234,0.018447945241171566,0.09672962343845243,0.10098250803314832,0.10098250803314832,0.02974649881027567,0.10098250803314832,0.05863904924751713,0.0,0.10098250803314832,0.0535045231850646,0.06932733566028251,0.0679599596848262,0.12302304928088889,0.1292095085893461,0.07267156258463138,0.0758985175378799,0.02180135365959053,0.13972791546100666,0.06730209315792651,0.07449251612400615,0.03577148090830006,0.027492876297641078,0.12815641325886368,0.0535045231850646,0.007257847414658252,0.04010319416746694,0.12302304928088889
Gastric and duodenal ulcer,0.0835276336529385,0.04476786683770141,1.0,0.2841272662309185,0.10802891125514685,0.13386139721004414,0.38455591077129453,0.38455591077129453,0.38455591077129453,0.016417188939070362,0.17715865130857156,0.014596412552066344,0.0745987381247652,0.24531731979033847,0.13386139721004414,0.13386139721004414,0.04861855349440028,0.13386139721004414,0.0796454195434507,0.0,0.13386139721004414,0.05097712946715365,0.19654661012100966,0.0635724771871407,0.21523080359843896,0.10802891125514685,0.022340675819819654,0.027651030273507002,0.012837828294837105,0.01812458968268985,0.019703701199424967,0.08004473414710797,0.04276615406150779,0.07133532340083598,0.1158678893944813,0.05097712946715365,0.043798100745741676,0.01876472463814078,0.21523080359843896
Gastro-oesophageal reflux,0.058047607397581885,0.025874021673878596,0.2841272662309185,0.9999999999999998,0.043893541602149366,0.15185744966640674,0.144835150645338,0.144835150645338,0.144835150645338,0.05883072007939712,0.07119213791615954,0.011506925737155515,0.02571286172249179,0.05350296979774906,0.15185744966640674,0.15185744966640674,0.01730388881769827,0.15185744966640674,0.022952854497098246,0.0,0.15185744966640674,0.14619274778035146,0.06471867402593,0.1635867520222464,0.1090277683974542,0.043893541602149366,0.028211913697859664,0.029125065182312587,0.06247571540510781,0.04759087598719817,0.016765795237548394,0.06206269221747705,0.042076611376050864,0.04412397452643152,0.058003729494099585,0.14619274778035146,0.01158941669114676,0.0034918297875610018,0.1090277683974542
Guttate psoriasis,0.22511446930767248,0.1292095085893461,0.10802891125514685,0.043893541602149366,1.0,0.5101653732014371,0.07838555728996553,0.07838555728996553,0.07838555728996553,0.3185013927223343,0.29651649343069564,0.2262662350448328,0.12764497497310576,0.36275703230196304,0.5101653732014371,0.5101653732014371,0.8460145150804516,0.5101653732014371,0.8185860775216196,0.0,0.5101653732014371,0.13081859668814252,0.2247661057553372,0.12209288034239665,0.3745262913026222,1.0,0.057863751542304255,0.22584428863778172,0.055992121590887164,0.3076947945606472,0.15570595815050117,0.3063404635808216,0.09048916134464198,0.17000184520923434,0.24915911130236273,0.13081859668814252,0.09786737788764355,0.686129947338204,0.3745262913026222
Atopy,0.11210514568871896,0.10098250803314832,0.13386139721004414,0.15185744966640674,0.5101653732014371,0.9999999999999999,0.10375790654526021,0.10375790654526021,0.10375790654526021,0.07779926895705795,0.26099202739472527,0.12992681835604256,0.10548598072893448,0.32766165814930814,0.9999999999999999,0.9999999999999999,0.4940679491265766,0.9999999999999999,0.6240024793254659,0.0,0.9999999999999999,0.7998564144735723,0.17551202349813888,0.34678871158246316,0.3181123588901951,0.5101653732014371,0.08164791461639812,0.15660014208869838,0.17521304521648556,0.07382962002039714,0.04291064847555538,0.14274307143257658,0.05606171320239558,0.13213969392666902,0.18746991885773312,0.7998564144735723,0.07685811506199103,0.40891593753443733,0.3181123588901951
Diarrhea Irritable bowel syndrome(IBS),0.4057651603950366,0.01577065653030072,0.38455591077129453,0.144835150645338,0.07838555728996553,0.10375790654526021,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.010012035810339175,0.5097828952970667,0.06961331241367777,0.5353313058366396,0.45219461900868163,0.1037579065452602,0.1037579065452602,0.0222948542402875,0.1037579065452602,0.04094821377430386,0.0,0.1037579065452602,0.017124214032089746,0.6146328607565449,0.1745412196733991,0.16740105941897485,0.07838555728996553,0.028760444865372402,0.04244364517527176,0.00665843324063763,0.015030028822877193,0.019053263869403377,0.5000994582520819,0.06750223522718128,0.34000635381510436,0.07049818742343822,0.017124214032089746,0.4240045286360923,0.04828059211771757,0.16740105941897485
Irritable bowel syndrome(IBS),0.4057651603950366,0.01577065653030072,0.38455591077129453,0.144835150645338,0.07838555728996553,0.10375790654526021,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.010012035810339175,0.5097828952970667,0.06961331241367777,0.5353313058366396,0.45219461900868163,0.10375790654526021,0.10375790654526021,0.0222948542402875,0.10375790654526021,0.040948213774303854,0.0,0.10375790654526021,0.01712421403208975,0.6146328607565448,0.17454121967339908,0.16740105941897487,0.07838555728996553,0.028760444865372402,0.04244364517527176,0.00665843324063763,0.01503002882287719,0.01905326386940338,0.5000994582520819,0.06750223522718131,0.34000635381510436,0.07049818742343823,0.01712421403208975,0.4240045286360923,0.04828059211771757,0.16740105941897487
Constipation Irritable bowel syndrome(IBS),0.4057651603950366,0.01577065653030072,0.38455591077129453,0.144835150645338,0.07838555728996553,0.10375790654526021,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.010012035810339175,0.5097828952970667,0.06961331241367777,0.5353313058366396,0.45219461900868163,0.1037579065452602,0.1037579065452602,0.0222948542402875,0.1037579065452602,0.04094821377430386,0.0,0.1037579065452602,0.017124214032089746,0.6146328607565449,0.1745412196733991,0.16740105941897485,0.07838555728996553,0.028760444865372402,0.04244364517527176,0.00665843324063763,0.015030028822877193,0.019053263869403377,0.5000994582520819,0.06750223522718128,0.34000635381510436,0.07049818742343822,0.017124214032089746,0.4240045286360923,0.04828059211771757,0.16740105941897485
Obesity,0.26574465528676366,0.1545664897082062,0.016417188939070362,0.05883072007939712,0.3185013927223343,0.07779926895705795,0.010012035810339175,0.010012035810339175,0.010012035810339175,1.0000000000000004,0.0727589968751372,0.09055536298022257,0.03435774817418386,0.037219820686436235,0.07779926895705795,0.07779926895705795,0.010783795345389504,0.07779926895705795,0.02659122475408003,0.0,0.07779926895705795,0.10997585597074458,0.09589443326530063,0.07852226400160985,0.10436674184031527,0.3185013927223342,0.044278312622393956,0.21244833605784896,0.06893410011767098,0.7157596049424092,0.13056397719679824,0.3703479956394428,0.13544686089711655,0.06391148585027415,0.34310882584801683,0.10997585597074458,0.002142698271640403,0.0009047041592688427,0.10436674184031527
