,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,1.0000000000000002,0.07224058824640626,0.08353486515810045,0.058092587242425435,0.22520825447873158,0.11210054118556177,0.4057614661513717,0.4057614661513717,0.4057614661513717,0.26588444519794985,0.5722758886583652,0.1528472804945508,0.4972946135475237,0.4054436911154193,0.11210054118556177,0.11210054118556177,0.021195991854603486,0.11210054118556177,0.0367846769076324,0.0,0.11210054118556177,0.05856115214854962,0.5800010502204193,0.3389348011303527,0.31665656028659506,0.22520825447873158,0.12984303546928852,0.29863733248601765,0.16804587289778172,0.22440681619223343,0.0681255407639626,0.7324538982074575,0.10393994231769821,0.45514710781533596,0.2760756615418387,0.05856115214854962,0.40404876122785505,0.0758145864552284,0.31665656028659506
Periodontal,0.07224058824640626,1.0000000000000002,0.04479095314604593,0.025987763400689826,0.1294877553038335,0.10097663083038089,0.01580191245165994,0.01580191245165994,0.01580191245165994,0.15511030673089576,0.11538792277471219,0.08675382817677914,0.018446871566958706,0.09672399375444438,0.10097663083038089,0.10097663083038089,0.029778490020731505,0.10097663083038089,0.05863563644277271,0.0,0.10097663083038089,0.05369512836290024,0.06932330079506736,0.06795600440117447,0.12311574427984515,0.1294877553038335,0.0726673330847204,0.07411909356240885,0.022038675458403323,0.14023682170010845,0.06740292103220585,0.07513905725959982,0.035901322580482446,0.027491276206577705,0.12835272950868942,0.05369512836290024,0.007257425006443782,0.04010086015330612,0.12311574427984515
Gastric and duodenal ulcer,0.08353486515810045,0.04479095314604593,1.0,0.2841293406886157,0.10803490293696713,0.1338613035635854,0.3845569713830144,0.3845569713830144,0.3845569713830144,0.016444377362336896,0.1771612949743207,0.014596402340740491,0.07459868593714578,0.2453171481717931,0.1338613035635854,0.1338613035635854,0.04862029711325706,0.1338613035635854,0.0796453638252851,0.0,0.1338613035635854,0.05098665327701871,0.19654647262136898,0.06357243271324839,0.2152338269402608,0.10803490293696713,0.02234066019077932,0.027868171557793902,0.012850087815872083,0.018149159420150676,0.01971118790155281,0.08004202021944075,0.04277254112686078,0.07133527349622897,0.115873827491629,0.05098665327701871,0.0437980701055637,0.01876471151075642,0.2152338269402608
Gastro-oesophageal reflux,0.058092587242425435,0.025987763400689826,0.2841293406886157,0.9999999999999999,0.04396162805955634,0.15185530360231708,0.14484081489354078,0.14484081489354078,0.14484081489354078,0.05895830739421165,0.07120688826683583,0.011506763120173858,0.02571249834585596,0.053502213688632075,0.15185530360231708,0.15185530360231708,0.01731187632798773,0.15185530360231708,0.022952530125150084,0.0,0.15185530360231708,0.14623798346531042,0.06471775941540175,0.1635844401985273,0.10904978449311248,0.04396162805955634,0.028211515004380874,0.02935338764695733,0.06252968298809593,0.047712084789525794,0.016800715717062317,0.06219897205599034,0.04210764860827328,0.044123350962178114,0.05805148608801914,0.14623798346531042,0.011589252908395006,0.0034917804406864768,0.10904978449311248
Guttate psoriasis,0.22520825447873158,0.1294877553038335,0.10803490293696713,0.04396162805955634,0.9999999999999999,0.5101175069973914,0.07839839411339067,0.07839839411339067,0.07839839411339067,0.31873357245759243,0.2965287535868336,0.2262450056428698,0.12763299869886527,0.3627229966675604,0.5101175069973914,0.5101175069973914,0.8459553830308799,0.5101175069973914,0.8185092737825308,0.0,0.5101175069973914,0.13094105710861684,0.22474501710282224,0.1220814249927591,0.3745508351392554,0.9999999999999998,0.057858322482858715,0.22759662841330328,0.056134585277417784,0.30791771115835237,0.15577966946544916,0.3065917939684972,0.09056250718413013,0.16998589480679943,0.2492562594015001,0.13094105710861684,0.09785819549282519,0.6860655712794075,0.3745508351392554
Atopy,0.11210054118556177,0.10097663083038089,0.1338613035635854,0.15185530360231708,0.5101175069973914,0.9999999999999999,0.10375779286625421,0.10375779286625421,0.10375779286625421,0.07776718686120968,0.2609908332579304,0.12992681835604256,0.10548598072893448,0.32766165814930814,0.9999999999999999,0.9999999999999999,0.4940673538256474,0.9999999999999999,0.6240024793254659,0.0,0.9999999999999999,0.7998145885983493,0.17551202349813888,0.34678871158246316,0.31810891525073126,0.5101175069973914,0.08164791461639812,0.15783002063960583,0.17520238192019683,0.07380478198190725,0.04290978403097416,0.14267157880783188,0.056060671196932366,0.13213969392666902,0.1874611997429022,0.7998145885983493,0.07685811506199103,0.40891593753443733,0.31810891525073126
Diarrhea Irritable bowel syndrome(IBS),0.4057614661513717,0.01580191245165994,0.3845569713830144,0.14484081489354078,0.07839839411339067,0.10375779286625421,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0100504075676755,0.5097844822025172,0.06961323614409577,0.5353307193181491,0.45219412357622235,0.1037577928662542,0.1037577928662542,0.022297100867047052,0.1037577928662542,0.040948168910713276,0.0,0.1037577928662542,0.017138598913111914,0.6146321873538617,0.17454102844293753,0.16740595159931057,0.07839839411339067,0.02876041335491799,0.04277693471584157,0.006674351815808039,0.015063350154461195,0.01906274234485737,0.499895281092973,0.06750993187354422,0.34000598129810183,0.07050910795811278,0.017138598913111914,0.4240040640891969,0.04828053922064299,0.16740595159931057
Irritable bowel syndrome(IBS),0.4057614661513717,0.01580191245165994,0.3845569713830144,0.14484081489354078,0.07839839411339067,0.10375779286625421,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0100504075676755,0.5097844822025172,0.06961323614409577,0.535330719318149,0.45219412357622235,0.10375779286625421,0.10375779286625421,0.022297100867047052,0.10375779286625421,0.040948168910713276,0.0,0.10375779286625421,0.017138598913111914,0.6146321873538617,0.17454102844293753,0.16740595159931057,0.07839839411339067,0.02876041335491799,0.04277693471584157,0.006674351815808039,0.015063350154461197,0.01906274234485737,0.499895281092973,0.06750993187354423,0.34000598129810183,0.07050910795811278,0.017138598913111914,0.42400406408919694,0.04828053922064299,0.16740595159931057
Constipation Irritable bowel syndrome(IBS),0.4057614661513717,0.01580191245165994,0.3845569713830144,0.14484081489354078,0.07839839411339067,0.10375779286625421,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0100504075676755,0.5097844822025172,0.06961323614409577,0.5353307193181491,0.45219412357622235,0.1037577928662542,0.1037577928662542,0.022297100867047052,0.1037577928662542,0.040948168910713276,0.0,0.1037577928662542,0.017138598913111914,0.6146321873538617,0.17454102844293753,0.16740595159931057,0.07839839411339067,0.02876041335491799,0.04277693471584157,0.006674351815808039,0.015063350154461195,0.01906274234485737,0.499895281092973,0.06750993187354422,0.34000598129810183,0.07050910795811278,0.017138598913111914,0.4240040640891969,0.04828053922064299,0.16740595159931057
Obesity,0.26588444519794985,0.15511030673089576,0.016444377362336896,0.05895830739421165,0.31873357245759243,0.07776718686120968,0.0100504075676755,0.0100504075676755,0.0100504075676755,1.0000000000000007,0.07281553426707374,0.09051802065202778,0.0343435800645752,0.0372044723435697,0.07776718686120968,0.07776718686120968,0.010823916530549385,0.07776718686120968,0.026580259326863028,0.0,0.07776718686120968,0.1102209371970799,0.0958548892639163,0.07848988376418997,0.10445620148586518,0.3187335724575924,0.04426005356818181,0.213975458717897,0.06921831421287845,0.7159686215430614,0.13069837260504913,0.3709186766011882,0.13556358594619752,0.06388513066156429,0.34322836221266584,0.1102209371970799,0.002141814686842676,0.0009043310862831821,0.10445620148586518
