,Acute Lymphoblastic Leukemia,Alzheimer Disease,Amyotrophic Lateral Sclerosis,Atherosclerosis,Biliary Tract Neoplasms,Breast Neoplasms,Celiac Disease,Colorectal Neoplasms,Constipation,Coronary Artery Disease,Coronary Heart Disease,Crohn Disease,Diarrhea,Diverticular Diseases,Endometrial Neoplasms,Esophageal Neoplasms,Gallbladder Neoplasms,Gastroenteritis,Gastroesophageal Reflux,Head and Neck Neoplasms,Hypertension,Inflammatory Bowel Diseases,Irritable Bowel Syndrome,Laryngeal Neoplasms,Liver Neoplasms,Lung Neoplasms,Mouth Neoplasms,Ovarian Neoplasms,Pancreatic Neoplasms,Parkinson Disease,Peripheral Arterial Disease,Pharyngeal Neoplasms,Prostatic Neoplasms,Rectal Neoplasms,Squamous Intraepithelial Lesions,Stomach Neoplasms,Thrombosis,Thyroid Neoplasms,Tongue Neoplasms,Ulcerative Colitis,Urinary Bladder Neoplasms,Uterine Cervical Neoplasms,Vascular Stiffness
Acute Lymphoblastic Leukemia,1.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.13432835820895522,0.0,0.2727272727272727,0.0,0.0,0.0,0.3230769230769231,0.0,0.13953488372093023,0.05333333333333334,0.7241379310344828,0.12195121951219512,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.10830324909747292,0.16,0.0,0.0,0.0,0.10650887573964497,0.4117647058823529,0.0,0.12195121951219512,0.0,0.0,0.0,0.0,0.0
Alzheimer Disease,0.0,1.0,0.16216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amyotrophic Lateral Sclerosis,0.0,0.16216216216216217,1.0,0.0,0.0,0.0,0.09183673469387756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atherosclerosis,0.08333333333333333,0.0,0.0,1.0,0.09782608695652174,0.21428571428571427,0.06329113924050633,0.08241758241758242,0.056179775280898875,0.0,0.0,0.0,0.06493506493506493,0.0,0.30612244897959184,0.7241379310344828,0.11428571428571428,0.061224489795918366,0.2571428571428571,0.0,0.09278350515463918,0.42857142857142855,0.10588235294117647,0.14285714285714285,0.10714285714285714,0.375,0.0,0.10112359550561797,0.0989010989010989,0.24923076923076923,0.3103448275862069,0.0,0.13043478260869565,0.10344827586206896,0.23316062176165803,0.075,0.09036144578313253,0.061224489795918366,0.0,0.03614457831325301,0.0,0.0,0.042328042328042326
Biliary Tract Neoplasms,0.0,0.0,0.0,0.09782608695652174,1.0,0.16304347826086957,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.08490566037735849,0.06315789473684211,0.0,0.0,0.19230769230769232,0.0,0.05714285714285714,0.09782608695652174,0.06451612903225806,0.09782608695652174,0.225,0.08653846153846154,0.0,0.061855670103092786,0.2222222222222222,0.04201680672268908,0.06315789473684211,0.0,0.09,0.06315789473684211,0.0430622009569378,0.0,0.1978021978021978,0.0,0.0,0.02197802197802198,0.0,0.0,0.08780487804878048
Breast Neoplasms,0.0,0.0,0.0,0.21428571428571427,0.16304347826086957,1.0,0.0,0.14835164835164835,0.0,0.0,0.0,0.0,0.0,0.0,0.1836734693877551,0.1724137931034483,0.0,0.0,0.34285714285714286,0.0,0.15463917525773196,0.21428571428571427,0.17647058823529413,0.21428571428571427,0.16071428571428573,0.1875,0.0,0.16853932584269662,0.16483516483516483,0.15692307692307692,0.1724137931034483,0.0,0.1956521739130435,0.1724137931034483,0.13989637305699482,0.0,0.16265060240963855,0.0,0.0,0.060240963855421686,0.0,0.0,0.06349206349206349
Celiac Disease,0.13432835820895522,0.0,0.09183673469387756,0.06329113924050633,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.19444444444444445,0.0,0.0967741935483871,0.036585365853658534,0.23076923076923078,0.06569343065693431,0.0,0.0,0.0,0.06329113924050633,0.0,0.0,0.0,0.054945054945054944,0.0,0.0,0.0,0.1377049180327869,0.10975609756097561,0.0,0.0,0.0,0.15300546448087432,0.28,0.0,0.15328467153284672,0.0,0.0,0.0,0.0,0.0
Colorectal Neoplasms,0.0,0.0,0.0,0.08241758241758242,0.18181818181818182,0.14835164835164835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.047872340425531915,0.0,0.0,0.17532467532467533,0.0,0.04326923076923077,0.08241758241758242,0.04891304347826087,0.08241758241758242,0.3277310924369748,0.07281553398058252,0.0,0.046875,0.1683673469387755,0.025495750708215296,0.047872340425531915,0.0,0.07575757575757576,0.047872340425531915,0.028985507246376812,0.0,0.5555555555555556,0.0,0.0,0.016666666666666666,0.0,0.0,0.28078817733990147
Constipation,0.2727272727272727,0.0,0.0,0.056179775280898875,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.4634146341463415,0.0,0.08737864077669903,0.03260869565217391,0.4666666666666667,0.05732484076433121,0.0,0.0,0.0,0.056179775280898875,0.0,0.0,0.0,0.04950495049504951,0.0,0.0,0.0,0.12173913043478261,0.09782608695652174,0.0,0.0,0.0,0.2561576354679803,0.6705882352941176,0.0,0.2356687898089172,0.0,0.0,0.0,0.0,0.0
Coronary Artery Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048484848484848485
