,Acute Lymphoblastic Leukemia,Alzheimer Disease,Amyotrophic Lateral Sclerosis,Atherosclerosis,Biliary Tract Neoplasms,Breast Neoplasms,Celiac Disease,Colorectal Neoplasms,Constipation,Coronary Artery Disease,Coronary Heart Disease,Crohn Disease,Diarrhea,Diverticular Diseases,Endometrial Neoplasms,Esophageal Neoplasms,Gallbladder Neoplasms,Gastroenteritis,Gastroesophageal Reflux,Head and Neck Neoplasms,Hypertension,Inflammatory Bowel Diseases,Irritable Bowel Syndrome,Laryngeal Neoplasms,Liver Neoplasms,Lung Neoplasms,Mouth Neoplasms,Ovarian Neoplasms,Pancreatic Neoplasms,Parkinson Disease,Peripheral Arterial Disease,Pharyngeal Neoplasms,Prostatic Neoplasms,Rectal Neoplasms,Squamous Intraepithelial Lesions,Stomach Neoplasms,Thrombosis,Thyroid Neoplasms,Tongue Neoplasms,Ulcerative Colitis,Urinary Bladder Neoplasms,Uterine Cervical Neoplasms,Vascular Stiffness
Acute Lymphoblastic Leukemia,0.9999999999999998,0.13479068700909502,0.021678237048282603,0.0,0.0,0.0256652953278675,0.0,0.0,0.0,0.005567478367019158,0.005518186164789433,0.022413414115840084,0.0,0.0,0.0,0.0,0.0,0.005688937657974366,0.007686061795984536,0.0,0.03345285744364643,0.020522174494399185,0.012579153302208245,0.0,0.0,0.0,0.0,0.0,0.0,0.2618298147394267,0.003490529368212536,0.0,0.22011064425041899,0.0,0.0,0.0,0.024607606652645306,0.0,0.0,0.0,0.0,0.0,0.0
Alzheimer Disease,0.13479068700909502,0.9999999999999996,0.03224409407641211,0.0,0.0,0.07570986198184784,0.0,0.0,0.0,0.008591157994836271,0.008300699650879189,0.064427149882839,0.0,0.0,0.0,0.0,0.0,0.008860148698876616,0.03300034329721459,0.0,0.04026161910420997,0.040925471367850366,0.02896934196060074,0.0,0.0,0.0,0.0,0.0,0.0,0.17483198161601946,0.007014539855684454,0.0,0.14096933584326138,0.0,0.0,0.0,0.07892520488363719,0.0,0.0,0.0,0.0,0.0,0.0
Amyotrophic Lateral Sclerosis,0.021678237048282603,0.03224409407641211,1.0000000000000002,0.0,0.0,0.07297532557001679,0.0,0.0,0.0,0.2964057405780844,0.24350695471286815,0.08631382215042399,0.0,0.0,0.0,0.0,0.0,0.007026438316253305,0.051896718897375495,0.0,0.7078414457330399,0.10202399781287719,0.014749594288278454,0.0,0.0,0.0,0.0,0.0,0.0,0.011269253972736148,0.2374017034642324,0.0,0.3161432077615743,0.0,0.0,0.0,0.46962267023251986,0.0,0.0,0.0,0.0,0.0,0.0
Atherosclerosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biliary Tract Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast Neoplasms,0.0256652953278675,0.07570986198184784,0.07297532557001679,0.0,0.0,1.0,0.0,0.0,0.0,0.020477901853202345,0.020495925540668272,0.8358754466968812,0.0,0.0,0.0,0.0,0.0,0.7473906778247505,0.07914704418418061,0.0,0.1094748521137162,0.8954768771132995,0.5334520341702336,0.0,0.0,0.0,0.0,0.0,0.0,0.03726660000153807,0.0069826590693639196,0.0,0.21019205293644996,0.0,0.0,0.0,0.0932969137836665,0.0,0.0,0.0,0.0,0.0,0.0
Celiac Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorectal Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constipation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coronary Artery Disease,0.005567478367019158,0.008591157994836271,0.2964057405780844,0.0,0.0,0.020477901853202345,0.0,0.0,0.0,1.0000000000000007,0.9951636066466586,0.02373319821607952,0.0,0.0,0.0,0.0,0.0,0.001556717114399642,0.04127287160452758,0.0,0.27182268790080866,0.019308575646374226,0.00440358258288675,0.0,0.0,0.0,0.0,0.0,0.0,0.004806415472449164,0.065857856543548,0.0,0.06540650341729529,0.0,0.0,0.0,0.38876670340815794,0.0,0.0,0.0,0.0,0.0,0.0
