,disease_name,microbe_scientific_name,relationship_name,disease_mesh_id,disease_mesh_heading
0,Ulcerative Colitis,Spirochaetes,Increased,MESH:D003093,Ulcerative Colitis
1,Mouth Neoplasms,Actinomyces,Increased,MESH:D009062,Mouth neoplasms
2,Mouth Neoplasms,Clostridium,Increased,MESH:D009062,Mouth neoplasms
3,Mouth Neoplasms,Enterobacteriaceae,Increased,MESH:D009062,Mouth neoplasms
4,Mouth Neoplasms,Fusobacterium,Increased,MESH:D009062,Mouth neoplasms
5,Mouth Neoplasms,Haemophilus,Increased,MESH:D009062,Mouth neoplasms
6,Mouth Neoplasms,Porphyromonas,Increased,MESH:D009062,Mouth neoplasms
7,Mouth Neoplasms,Prevotella,Increased,MESH:D009062,Mouth neoplasms
8,Mouth Neoplasms,Streptococcus,Increased,MESH:D009062,Mouth neoplasms
9,Mouth Neoplasms,Veillonella,Increased,MESH:D009062,Mouth neoplasms
10,Ulcerative Colitis,Fusobacterium varium,Increased,MESH:D003093,Ulcerative Colitis
11,Ulcerative Colitis,Fusobacterium varium,Increased,MESH:D003093,Ulcerative Colitis
12,Crohn Disease,Escherichia coli,Increased,MESH:D003424,Crohn Disease
13,Irritable Bowel Syndrome,Lactobacillus sp.,Decreased,MESH:D043183,Irritable Bowel Syndrome
14,Irritable Bowel Syndrome,Veillonella sp.,Increased,MESH:D043183,Irritable Bowel Syndrome
15,Mouth Neoplasms,Capnocytophaga gingivalis,Increased,MESH:D009062,Mouth neoplasms
16,Mouth Neoplasms,Capnocytophaga gingivalis,Increased,MESH:D009062,Mouth neoplasms
17,Mouth Neoplasms,Capnocytophaga ochracea,Increased,MESH:D009062,Mouth neoplasms
18,Mouth Neoplasms,Capnocytophaga ochracea,Increased,MESH:D009062,Mouth neoplasms
19,Mouth Neoplasms,Lachnoanaerobaculum saburreum,Decreased,MESH:D009062,Mouth neoplasms
20,Mouth Neoplasms,Lachnoanaerobaculum saburreum,Decreased,MESH:D009062,Mouth neoplasms
21,Mouth Neoplasms,Leptotrichia buccalis,Decreased,MESH:D009062,Mouth neoplasms
22,Mouth Neoplasms,Leptotrichia buccalis,Decreased,MESH:D009062,Mouth neoplasms
23,Mouth Neoplasms,Prevotella melaninogenica,Increased,MESH:D009062,Mouth neoplasms
24,Mouth Neoplasms,Prevotella melaninogenica,Increased,MESH:D009062,Mouth neoplasms
25,Mouth Neoplasms,Streptococcus mitis,Increased,MESH:D009062,Mouth neoplasms
26,Mouth Neoplasms,Streptococcus mitis,Increased,MESH:D009062,Mouth neoplasms
27,Crohn Disease,Clostridiaceae,Increased,MESH:D003424,Crohn Disease
28,Crohn Disease,Clostridium,Increased,MESH:D003424,Crohn Disease
29,Crohn Disease,Enterobacteriaceae,Increased,MESH:D003424,Crohn Disease
30,Crohn Disease,Faecalibacterium,Decreased,MESH:D003424,Crohn Disease
31,Crohn Disease,Faecalibacterium prausnitzii,Decreased,MESH:D003424,Crohn Disease
32,Crohn Disease,Fusobacteria,Decreased,MESH:D003424,Crohn Disease
33,Crohn Disease,Fusobacteriaceae,Decreased,MESH:D003424,Crohn Disease
34,Ulcerative Colitis,Asteroleplasma,Decreased,MESH:D003093,Ulcerative Colitis
35,Crohn Disease,Proteobacteria,Increased,MESH:D003424,Crohn Disease
36,Crohn Disease,Bacteroidaceae,Decreased,MESH:D003424,Crohn Disease
37,Ulcerative Colitis,Bacteroidaceae,Decreased,MESH:D003093,Ulcerative Colitis
38,Crohn Disease,Bacteroides ovatus,Decreased,MESH:D003424,Crohn Disease
39,Ulcerative Colitis,Bacteroides ovatus,Decreased,MESH:D003093,Ulcerative Colitis
