,0
0,Abiotrophia
1,Abiotrophia defectiva
2,Absidia
3,Acetanaerobacterium
4,Acetivibrio
5,Acetivibrio ethanolgignens
6,Acholeplasma
7,Acholeplasmataceae
8,Acholeplasmatales
9,Achromobacter
10,Achromobacter sp.
11,Acidaminococcaceae
12,Acidaminococcus
13,Acidaminococcus intestini
14,Acidibacter
15,Acidiphilium
16,Acidobacteria
17,Acidobacteriia
18,Acidobacterium
19,Acidothermus
20,Acidovorax
21,Acinetobacter
22,Acinetobacter baumannii
23,Acinetobacter johnsonii
24,Acinetobacter lwoffii
25,Acinetobacter schindleri
26,Acinetobacter sp.
27,Acinetobacter venetianus RAG-1 = CIP 110063
28,Acremonium
29,Acremonium chrysogenum
30,Actinobacillus
31,Actinobacillus porcinus
32,Actinobacteria
33,Actinobaculum
34,Actinobaculum massiliense
35,Actinomyces
36,Actinomyces graevenitzii
37,Actinomyces oris
38,Actinomyces radicidentis
39,Actinomyces sp. oral taxon 170
40,Actinomyces sp. oral taxon 877
41,Actinomyces viscosus
42,Actinomycetaceae
43,Actinomycetales
44,Actinotalea
45,Adlercreutzia
46,Adlercreutzia equolifaciens
47,Aerococcaceae
48,Aerococcus
49,Aeromonadaceae
50,Aeromonadales
51,Aeromonas
52,Agaricales
53,Agaricomycetes
54,Agathobaculum desmolans
55,Aggregatibacter
56,Aggregatibacter actinomycetemcomitans
57,Aggregatibacter aphrophilus
58,Aggregatibacter segnis
59,Agrococcus
60,Akkermansia
61,Akkermansia muciniphila
62,Akkermansiaceae
63,Alcaligenaceae
64,Alcaligenes
65,Alcaligenes faecalis
66,Alicyclobacillus
67,Aliihoeflea
68,Alistipes
69,Alistipes finegoldii
70,Alistipes indistinctus
71,Alistipes obesi
72,Alistipes onderdonkii
73,Alistipes putredinis
74,Alistipes senegalensis
75,Alistipes shahii
76,Alkaliphilus
77,Allisonella
78,Allobaculum
79,Alloiococcus
80,Alloprevotella
81,Alloprevotella tannerae
82,Alloscardovia omnicolens
83,Alphaproteobacteria
84,Alteromonadaceae
85,Alteromonadales
86,Alteromonas
87,Amedibacillus dolichus
88,Anaerobutyricum hallii
89,Anaerococcus
90,Anaerococcus tetradius
91,Anaerofustis
92,Anaeroglobus
93,Anaerolineae
94,Anaeromassilibacillus senegalensis
95,Anaeroplasma
96,Anaeroplasmataceae
97,Anaeroplasmatales
98,Anaerorhabdus
99,Anaerosporobacter
100,Anaerostipes
101,Anaerostipes caccae
102,Anaerostipes caccae DSM 14662
103,Anaerotignum lactatifermentans
104,Anaerotruncus
105,Anaerotruncus colihominis
106,Anaerotruncus sp. G3(2012)
107,Anaerovorax
108,Anelloviridae
109,Aneurinibacillus
110,Anoxybacillus
111,Anoxybacillus kestanbolensis
112,Antrodiella
113,Aphanothecaceae
114,Aquabacterium
115,Arcanobacterium
116,Arcobacter
117,Arthrobacter
118,Arthrobotrys oligospora
119,Arthrospira
120,Asaccharobacter
121,Ascomycota
122,Aspergillus flavus
123,Aspergillus ochraceoroseus
124,Aspergillus rambellii
125,Aspergillus sydowii
126,Aspergillus versicolor
127,Asteroleplasma
128,Atopobiaceae
129,Atopobium
130,Atopobium minutum
131,Atopobium parvulum DSM 20469
132,Atopobium sp.
133,Azohydromonas
134,Azospira
135,Babesia
136,Bacillaceae
137,Bacillales
138,Bacilli
139,Bacillus
140,Bacillus cereus
141,Bacillus coagulans
142,Bacillus megaterium
143,Bacillus sp. FJAT-22090
144,Bacillus thermoamylovorans
145,Bacteroidaceae
146,Bacteroidales
147,Bacteroides
148,Bacteroides acidifaciens
149,Bacteroides caccae
150,Bacteroides cellulosilyticus
151,Bacteroides clarus
152,Bacteroides eggerthii
153,Bacteroides finegoldii
154,Bacteroides fragilis
155,Bacteroides galacturonicus
156,Bacteroides helcogenes
157,Bacteroides intestinalis
158,Bacteroides nordii
159,Bacteroides ovatus
160,Bacteroides pyogenes
161,Bacteroides salyersiae
162,Bacteroides sp.
163,Bacteroides sp. 3_1_40A
164,Bacteroides stercoris
165,Bacteroides thetaiotaomicron
166,Bacteroides uniformis
167,Bacteroides zoogleoformans
168,Bacteroides-like sp. oral clone AU126
169,Bacteroidetes
170,Bacteroidia
171,Balneimonas
172,Barnesiella
173,Barnesiella intestinihominis
174,Barnesiellaceae
175,Basidioascus
176,Basidiomycota
177,Bdellovibrionaceae
178,Bdellovibrionales
179,Bergeriella
180,Bergeyella
181,Bergeyella zoohelcum
182,Betaproteobacteria
183,Bifidobacteriaceae
184,Bifidobacteriales
185,Bifidobacterium
186,Bifidobacterium adolescentis
187,Bifidobacterium angulatum
188,Bifidobacterium animalis
189,Bifidobacterium bifidum
190,Bifidobacterium breve
191,Bifidobacterium catenulatum
192,Bifidobacterium catenulatum subsp. kashiwanohense
193,Bifidobacterium dentium
194,Bifidobacterium longum
195,Bifidobacterium longum subsp. longum
196,Bifidobacterium pseudocatenulatum
197,Bifidobacterium scardovii
198,Bifidobacterium sp.
199,Bifidobacterium thermacidophilum
200,Bilophila
201,Bilophila sp.
202,Bilophila wadsworthia
203,Blastococcus
204,Blastomonas
205,Blautia
206,Blautia coccoides
207,Blautia faecis
208,Blautia glucerasea
209,Blautia hansenii
210,Blautia luti
211,Blautia obeum
212,Blautia producta
213,Blautia sp.
214,Blautia sp. KLE 1732
215,Blautia wexlerae
216,Blumeria graminis
217,Boletus
218,Bombiscardovia
219,Bordetella
220,Bosea
221,Brachyspira
222,Brachyspiraceae
223,Bradyrhizobiaceae
224,Bradyrhizobium
225,Brevibacillus
226,Brevibacteriaceae
227,Brevibacterium
228,Brevundimonas
229,Brucella
230,Brucellaceae
231,Bryobacter
232,Bryobacterales
233,Buchnera
234,Buchnera aphidicola
235,Bulleidia
236,Bulleribasidiaceae
237,Burkholderia
238,Burkholderiaceae
239,Burkholderiales
